Title,Directors,genres,Actors
Oppenheimer,Christopher Nolan,"Drama, Thriller, Biography, 1940s, Historical, Nuclear Holocaust, Courtroom Drama / Lawyers","Cillian Murphy, Emily Blunt, Robert Downey Jr., Matt Damon, Josh Hartnett, Florence Pugh, Jason Clarke, Alden Ehrenreich, David Krumholtz, Ben Safdie, Kenneth Branagh, Rami Malek, Gary Oldman"
"Amanece, que no es poco",José Luis Cuerda,"Comedy, Broad Comedy, Surrealism, Cult Movie","Antonio Resines, José Sazatornil, Cassen, Luis Ciges, Aurora Bautista, Enrique San Francisco, Pastora Vega, Chus Lampreave, Manuel Alexandre, María Isbert, Miguel Rellán, Guillermo Montesinos, Rafael Alonso"
I as in Icarus,Henri Verneuil,Thriller,"Yves Montand, Michel Etcheverry, Roger Planchon, Pierre Vernier, Jacques Denis"
Faithless,Liv Ullmann,"Drama, Romance","Lena Endre, Erland Josephson, Krister Henriksson, Thomas Hanzon, Michelle Gylemo, Juni Dahr, Philip Zandén"
Yellow Sky,William A. Wellman,Western,"Gregory Peck, Anne Baxter, Richard Widmark, Robert Arthur, James Barton, John Russell, Harry Morgan, Charles Kemper, William Gould, Norman Leavitt"
"Now, Voyager",Irving Rapper,"Drama, Romance, Romantic Drama, Melodrama","Bette Davis, Paul Henreid, Claude Rains, Gladys Cooper, Bonita Granville, John Loder, Ilka Chase, Janis Wilson, Lee Patrick, Franklin Pangborn"
White Nights,Luchino Visconti,"Romance, Drama, Romantic Drama","Maria Schell, Marcello Mastroianni, Jean Marais, Marcella Rovena, Maria Zanoli, Elena Fancera, Renato Terra, Corrado Pani, Clara Calamai, Mimmo Palmara, Lys Assia, Giorgio Listuzzi, Angelo Galassi, Giorgio Albertazzi"
Broken Blossoms,D.W. Griffith,"Drama, Romance, Melodrama, Silent Film, Racism, Boxing","Lillian Gish, Richard Barthelmess, Donald Crisp, Arthur Howard, Wilbur Higby, Fred Hamer, Norman Selby, Steve Murphy, Edward Peil Sr., George Beranger, Bessie Wong, Bobbie Mack, George Nichols"
Ernest & Celestine,"Benjamin Renner, Stéphane Aubier, Vincent Patar","Animation, Comedy, Drama, Kids, Friendship, Rodents, Bears, Family-friendly",Lambert Wilson
Dark Eyes,Nikita Mikhalkov,"Drama, Romance, Romantic Drama","Marcello Mastroianni, Elena Safonova, Silvana Mangano, Marthe Keller, Pina Cei, Vsevolod Larionov, Innokenti Smoktunovsky, Oleg Tabakov, Pavel Kadochnikov, Larisa Kuznetsova, Paolo Baroni, Roberto Herlitzka, Yuri Bogatyryov"
3:10 to Yuma,Delmer Daves,Western,"Glenn Ford, Van Heflin, Felicia Farr, Leora Dana, Henry Jones, Richard Jaeckel, Robert Emhardt"
Heaven Can Wait,Ernst Lubitsch,"Comedy, Fantasy, Romance, Screwball comedy, Romantic Comedy, Sophisticated Comedy","Gene Tierney, Don Ameche, Charles Coburn, Marjorie Main, Laird Cregar, Spring Byington, Allyn Joslyn, Eugene Pallette, Signe Hasso, Louis Calhern, Helene Reynolds, Aubrey Mather"
Perfect Days,Wim Wenders,"Drama, Job/Employment","Kôji Yakusho, Arisa Nakano, Tokio Emoto, Yumi Asou, Sayuri Ishikawa, Tomokazu Miura, Aoi Yamada, Min Tanaka"
Waiting for the Hearse,Alejandro Doria,"Comedy, Family Relationships, Black Comedy, Old Age / Elderly, Cult Movie","Antonio Gasalla, China Zorrilla, Luis Brandoni, Julio De Grazia, Betiana Blum, Juan Manuel Tenuta, Mónica Villa, Cecilia Rossetto, Enrique Pinti, Andrea Tenuta, Darío Grandinetti, Lidia Catalano, Juan Acosta, Miguel Ángel Porro, Clotilde Borella"
The Far Country,Anthony Mann,"Western, Adventure","James Stewart, Ruth Roman, Corinne Calvet, Walter Brennan, John McIntire, Jay C. Flippen, Harry Morgan, Steve Brodie, Connie Gilchrist, Robert J. Wilke, Chubby Johnson, Royal Dano, Jack Elam, Kathleen Freeman, Connie Van"
The Night of the Iguana,John Huston,"Drama, Southern Gothic, Alcoholism","Richard Burton, Deborah Kerr, Ava Gardner, Sue Lyon, Cyril Delevanti, Grayson Hall, Gladys Hill, Mary Boylan"
Waking Life,Richard Linklater,"Animation, Drama, Independent Film (US), Cult Movie, Adult Animation","Ethan Hawke, Julie Delpy, Wiley Wiggins, Trevor Jack Brooks, Timothy Speed Levitch, Glover Gill, Laura Hicks, David Sosa, Alex Jones"
The Tenant,Roman Polanski,"Horror, Thriller, Psychological Thriller, Psychological Drama, Cult Movie","Roman Polanski, Isabelle Adjani, Melvyn Douglas, Shelley Winters, Jo Van Fleet, Bernard Fresson, Lila Kedrova, Claude Dauphin, Claude Piéplu, Rufus Magloire"
Misery,Rob Reiner,"Horror, Drama, Psychological Drama, Kidnapping Film / Disappearance, Literature","Kathy Bates, James Caan, Frances Sternhagen, Richard Farnsworth, Lauren Bacall"
Ed Wood,Tim Burton,"Comedy, Drama, Biography, Black Comedy, 1950s, Film In Film, Cult Movie","Johnny Depp, Martin Landau, Patricia Arquette, Sarah Jessica Parker, Bill Murray, Lisa Marie, Jeffrey Jones, ""Vincent DOnofrio"", G.D. Spradlin, Juliet Landau, Mike Starr, Brent Hinkley, Max Casella"
The Help,Tate Taylor,"Drama, Southern Gothic, 1960s, Racism, Friendship, Ensemble Film","Emma Stone, Viola Davis, Bryce Dallas Howard, Sissy Spacek, Octavia Spencer, Jessica Chastain, ""Ahna OReilly"", Allison Janney, Anna Camp, Eleanor Henry, Emma Henry, Chris Lowell, Cicely Tyson"
The Scarlet Empress,Josef von Sternberg,"Drama, Romance, Historical, 18th Century","Marlene Dietrich, John Lodge, Louise Dresser, C. Aubrey Smith, Sam Jaffe, Akim Tamiroff, Gavin Gordon"
Earth (Zemlya),Aleksandr Dovzhenko,"Drama, Silent Film, Propaganda",
The Plague Dogs,Martin Rosen,"Animation, Adventure, Drama, Animals, Dogs/Wolves, Adult Animation","John Hurt, Christopher Benjamin, James Bolam, Nigel Hawthorne, Warren Mitchell, Bernard Hepton, Brian Stirner, Penelope Lee, Geoffrey Matthews, Barbara Leigh-Hunt, John Bennett, John Franklyn-Robbins"
A Moment to Remember,John H. Lee,"Romance, Drama, Romantic Drama, Disease/illness","Jung Woo-sung, Son Ye-jin, Baek Jong-hak, Lee Seon-jin, Park Sang-gyu, Kim Hee-ryung, Ji-hyun Seon, Kim Bu-seon"
Oasis,Lee Chang-Dong,"Romance, Drama, Romantic Drama, Disease/illness, Disability","Sol Kyung-gu, Moon So-ri, Ahn Nae-sang, Ryoo Seung-wan, Chu Kwi-Jung, Kim Jin-Gu, Son Byung-ho, Park Myeong-Shin"
