Title,Directors,genres,Actors
Bad Day at Black Rock,John Sturges,"Mystery, Racism, 1940s","Spencer Tracy, Robert Ryan, Lee Marvin, Anne Francis, Dean Jagger, Ernest Borgnine, Walter Brennan, John Ericson, Walter Sande"
The Sacrifice,Andrei Tarkovsky,"Drama, Psychological Drama, Cult Movie","Erland Josephson, Susan Fleetwood, Valérie Mairesse, Allan Edwall, Gudrun Gildottir"
Who's Afraid of Virginia Woolf?,Mike Nichols,Drama,"Elizabeth Taylor, Richard Burton, Sandy Dennis"
Smoke,Wayne Wang,"Drama, Independent Film (US), 1980s, Ensemble Film, Photography","Harvey Keitel, William Hurt, Stockard Channing, Forest Whitaker, Harold Perrineau, Ashley Judd, Giancarlo Esposito, Victor Argo, Erica Gimpel, Clarice Taylor, José Zúñiga, Malik Yoba, Mary Ward, Jared Harris, Stephen Gevedon, Howie Rose"
The Beasts,Rodrigo Sorogoyen,"Thriller, Drama, Small Town Life (Non-North American)","Marina Foïs, Denis Ménochet, Luis Zahera, Diego Anido, Marie Colomb, Luisa Merelas, José Manuel Fernández y Blanco, Xavier Estévez, Gonzalo García, Federico Pérez, Javier Varela, Pepo Suevos, Machi Salgado, Emile Duthu"
Carnival in Flanders,Jacques Feyder,"Drama, Comedy, 17th Century, Satire, Feminism","Françoise Rosay, Jean Murat, Louis Jouvet, Micheline Cheirel, André Alerme, Lyne Clévers, Alfred Adam, Marguerite Ducouret, Pierre Labry, Ginette Gaubert, Bernard Lancret, Delphin, ""Alexander DArcy"", Claude Sainval, Arthur Devère"
5 Fingers,Joseph L. Mankiewicz,"Mystery, Thriller, Film noir, Spy Film, Based on a true story, II World War","James Mason, Danielle Darrieux, Michael Rennie, Walter Hampden, Oscar Karlweis, Herbert Berghof, Ben Astar, John Wengraf"
Accattone,Pier Paolo Pasolini,"Drama, Prostitution, Neorealism","Franco Citti, Silvana Corsini, Franca Pasut, Paola Guidi, Adriana Asti, Mario Cipriani, Roberto Scaringella, Adele Cambria"
Mouchette,Robert Bresson,"Drama, Social Drama, Teen/coming-of-age, Small Town Life (Non-North American), Psychological Drama",
The Band Wagon,Vincente Minnelli,"Musical, Stage Play","Fred Astaire, Cyd Charisse, Oscar Levant, Nanette Fabray, Ava Gardner, Jack Buchanan, James Mitchell"
A Letter to Three Wives,Joseph L. Mankiewicz,"Drama, Jealousy","Kirk Douglas, Ann Sothern, Linda Darnell, Paul Douglas, Jeffrey Lynn, Jeanne Crain, Florence Bates, Thelma Ritter, Celeste Holm"
Kind Hearts and Coronets,Robert Hamer,"Comedy, Black Comedy, Serial Killers, Revenge, Family Relationships","Dennis Price, Alec Guinness, Joan Greenwood, Valerie Hobson, Audrey Fields, John Penrose, John Salew, Arthur Lowe, Clive Morton, Hugh Griffith"
Nobody Knows,Hirokazu Koreeda,"Drama, Childhood, Family Relationships, Social Drama, Based on a true story","Yûya Yagira, Ayu Kitaura, Hiei Kimura, Momoko Shimizu, Hanae Kan, Susumu Terajima, You"
Down by Law,Jim Jarmusch,"Comedy, Drama, Crime, Prison Drama, Cult Movie, Independent Film (US)","Tom Waits, Roberto Benigni, John Lurie, Nicoletta Braschi, Ellen Barkin, Billie Neal, Pruitt Taylor Vince"
The Handmaiden,Park Chan-wook,"Thriller, Drama, Romance, 1930s, Erotic, Gay & Lesbian, Romantic Drama","Kim Min-hee, Kim Tae-ri, Ha Jung-woo, Cho Jin-woong, Moon So-ri, Kim Hae-sook, Lee Yong-nyeo, Lee Dong-hwi, Yoo Min-chae"
Midnight Cowboy,John Schlesinger,"Drama, Friendship, Prostitution, Poverty","Dustin Hoffman, Jon Voight, Brenda Vaccaro, Sylvia Miles, John McGiver, Ruth White, Bob Balaban, Barnard Hughes"
The Mission,Roland Joffé,"Adventure, Drama, Historical, 18th Century, Colonial America, Religion","Robert De Niro, Jeremy Irons, Ray McAnally, Aidan Quinn, Cherie Lunghi, Ronald Pickup, Liam Neeson, Chuck Low, Rolf Gray, Bercelio Moya, Daniel Berrigan"
The Chorus,Christophe Barratier,"Drama, Comedy, Comedy-Drama, Childhood, Education, 1940s, Boarding School, Schools & University, Music, Remake","Gérard Jugnot, François Berléand, Jean-Baptiste Maunier, Jacques Perrin, Kad Merad, Maxence Perrin, Paul Chariéras, Marie Bunel, Jean-Paul Bonnaire, Grégory Gatignol"
Gentleman Jim,Raoul Walsh,"Drama, Comedy, Sports, Boxing, Biography, 19th Century","Errol Flynn, Alexis Smith, Jack Carson, Alan Hale, John Loder, William Frawley, Minor Watson, Ward Bond, Madeleine LeBeau, Mike Mazurki, Rhys Williams, Arthur Shields, Dorothy Vaughan"
Werckmeister Harmonies,"Béla Tarr, Ágnes Hranitzky","Drama, Mystery","Lars Rudolph, Peter Fitz, Hanna Schygulla, János Derzsi, Djoko Rosic, Tamás Wichmann, Ferenc Kállai, Mihály Kormos, Putyi Horváth"
Opening Night,John Cassavetes,"Drama, Stage Play, Psychological Drama, Independent Film (US)","Gena Rowlands, Ben Gazzara, John Cassavetes, Joan Blondell, Paul Stewart, Zohra Lampert, Laura Johnson, John Tuell, Peter Falk, Louise Lewis, J. P. Finnegan, Katherine Cassavetes, Fred Draper"
Before the Rain,Milcho Manchevski,"Drama, Balkan Wars, Ensemble Film, Photography","Katrin Cartlidge, Rade Serbedzija, Grégoire Colin, Labina Mitevska, Jay Villiers"
The Harder They Fall,Mark Robson,"Film noir, Drama, Sports, Boxing, Journalism","Humphrey Bogart, Rod Steiger, Jan Sterling, Mike Lane, Max Baer, Jersey Joe Walcott, Edward Andrews, Harold J. Stone, Carlos Montalbán, Nehemiah Persoff, Felice Orlandi, Herbie Faye, Rusty Lane, Jack Albertson"
Chimes at Midnight,Orson Welles,"Drama, Comedy, War, Middle Ages, 15th Century, Friendship, Historical","Orson Welles, Keith Baxter, John Gielgud, Jeanne Moreau, Margaret Rutherford, Marina Vlady, Norman Rodway, Alan Webb, Fernando Rey, Walter Chiari, Andrew Faulds, Michael Aldridge, Julio Peña"
Meet John Doe,Frank Capra,"Drama, Journalism, Social Drama","Gary Cooper, Barbara Stanwyck, Edward Arnold, Walter Brennan, James Gleason, Ann Doran, Gene Lockhart, Regis Toomey, Spring Byington"
I Confess,Alfred Hitchcock,"Mystery, Cop Movies, Religion","Montgomery Clift, Anne Baxter, Karl Malden, Brian Aherne, O.E. Hasse, Dolly Haas, Roger Dann, Charles André, Judson Pratt"
East of Eden,Elia Kazan,"Drama, Melodrama, Small Town Life (North-american), 1910s, Family Relationships","James Dean, Raymond Massey, Julie Harris, Richard Davalos, Jo Van Fleet, Burl Ives, Albert Dekker, Lois Smith, Harold Gordon"
Nausicaä of the Valley of the Wind,Hayao Miyazaki,"Animation, Adventure, Fantasy, Sci-Fi, Post-apocalyptic Future, Steampunk, Nature, Insects, Manga, Cult Movie",
Solas,Benito Zambrano,"Drama, Social Drama, Alcoholism","María Galiana, Ana Fernández, Carlos Álvarez-Novoa, Antonio Dechent, Paco de Osca, Juan Fernández, Miguel Alcíbar, Pilar Sánchez, Concha Galán, Paco Tous"
Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Animation, Adventure, Action, Fantasy, Teen/coming-of-age, Superheroes, Based on a Comic, Marvel Comics","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Lily Tomlin, Lauren Vélez, Zöe Kravitz, John Mulaney, Kimiko Glenn, Nicolas Cage, Kathryn Hahn, Liev Schreiber, Chris Pine, Stan Lee"
Society Of The Snow,J.A. Bayona,"Drama, Adventure, Based on a true story, Survival Film, Nature, 1970s, Cold Weather, One Location","Enzo Vogrincic, Agustín Pardella, Matías Recalt, Esteban Bigliardi, Diego Vegezzi, Fernando Contigiani García, Esteban Kukuriczka, Rafael Federman, Francisco Romero, Valentino Alonso, Tomas Wolf, Agustín Della Corte, Felipe González Otaño"
Deconstructing Harry,Woody Allen,Comedy,"Woody Allen, Elisabeth Shue, Robin Williams, Demi Moore, Judy Davis, Kirstie Alley, Amy Irving, Billy Crystal, Julia Louis-Dreyfus, Tobey Maguire, Hazelle Goodman, Richard Benjamin, Caroline Aaron"
The Artist,Michel Hazanavicius,"Comedy, Drama, Romance, Melodrama, Film In Film, 1920s, 1930s, The Great Depression, Silent Film","Jean Dujardin, Bérénice Bejo, James Cromwell, John Goodman, Penelope Ann Miller, Missi Pyle, Malcolm McDowell, Joel Murray, Ed Lauter, Beth Grant, Bitsie Tulloch, Ken Davitian, Bill Fagerbakke, Katie Nisa"
Prisoners,Denis Villeneuve,"Thriller, Drama, Crime, Cop Movies, Kidnapping Film / Disappearance, Revenge","Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, Paul Dano, David Dastmalchian, Dylan Minnette, Erin Gerasimovich, Kyla Drew Simmons, Zoe Borde, Len Cariou, Wayne Duvall, Sandra Ellis Lafferty"
Dead Poets Society,Peter Weir,"Drama, Education, Schools & University, Literature, 1950s, Cult Movie","Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles, Dylan Kussman, Gale Hansen, James Waterston, Allelon Ruggiero, Norman Lloyd, Kurtwood Smith, Melora Walters, Welker White, John Cunningham, Debra Mooney, Lara Flynn Boyle"
The Big Lebowski,Joel Coen,"Comedy, Black Comedy, Bowling, Cult Movie","Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, David Huddleston, Philip Seymour Hoffman, Sam Elliott, John Turturro, Tara Reid, Ben Gazzara, Peter Stormare, Mark Pellegrino, Jon Polito"
Kill Bill: Volume 1,Quentin Tarantino,"Action, Thriller, Martial Arts, Crime, Revenge, Cult Movie","Uma Thurman, Lucy Liu, Daryl Hannah, Vivica A. Fox, Sonny Chiba, Chiaki Kuriyama, Michael Bowen, Julie Dreyfus, Michael Parks, David Carradine, Michael Madsen, Gordon Liu, Jun Kunimura"
Yin Ru Chen Yan,Li Ruijun,"Drama, Small Town Life (Non-North American)","Wu Renlin, Christina Hai, Guangrui Yang, Dengping Zhao, Cailan Wang, Yunzhi Wu, Zhanhong Ma"
Body and Soul,Robert Rossen,"Film noir, Sports, Boxing","John Garfield, Lilli Palmer, Hazel Brooks, Anne Revere, William Conrad, Joseph Pevney, Lloyd Gough, Canada Lee"
The Tragedy of Othello: The Moor of Venice,Orson Welles,"Drama, Jealousy","Orson Welles, Suzanne Cloutier, Micheál MacLiammóir, Robert Coote, Fay Compton, Hilton Edwards, Michael Laurence, Nicholas Bruce, Doris Dowling, Jean Davis, Joseph Cotten, Joan Fontaine"
The Color of Paradise,Majid Majidi,"Drama, Childhood, Family Relationships, Disability, Blindness","Hossein Mahjoub, Salime Feizi, Mohsen Ramezani, Farahnaz Safari, Elham Sharifi"
Strangers When We Meet,Richard Quine,"Drama, Romance, Melodrama, Romantic Drama, Architecture","Kirk Douglas, Kim Novak, Ernie Kovacs, Barbara Rush, Virginia Bruce, Walter Matthau, John Bryant, Kent Smith, Roberta Shore, Paul Picerni, Nancy Kovack, Helen Gallagher, Harry Jackson, Ernest Sarracino"
Where Is the Friend's House?,Abbas Kiarostami,"Drama, Childhood",
Time of the Gypsies,Emir Kusturica,"Drama, Comedy, Teen/coming-of-age, Magic Realism, Mafia, Comedy-Drama","Davor Dujmovic, Bora Todorovic, Ljubica Adzovic, Husnija Hasmovic, Sinolicka Trpkova, Zabit Mehmedov, Elvira Sali"
Elevator to the Gallows,Louis Malle,"Film noir, Thriller, Drama, Cop Movies, Crime","Jeanne Moreau, Maurice Ronet, Georges Poujouly, Yori Bertin, Jean Wall, Elga Andersen, Sylviane Aisenstein, Micheline Bona, Gisele Grandpré, Jacqueline Staup, Marcel Cuvelier, Gérard Darrieu, Charles Denner"
Imitation of Life,Douglas Sirk,"Drama, Melodrama","Lana Turner, John Gavin, Susan Kohner, Sandra Dee, ""Dan OHerlihy"", Robert Alda, Juanita Moore, Mahalia Jackson, Terry Burnham, Karin Dicker, Troy Donahue"
An Affair to Remember,Leo McCarey,"Drama, Romance, Romantic Drama, Melodrama, Remake, ""New Years Eve""","Cary Grant, Deborah Kerr, Richard Denning, Neva Patterson, Cathleen Nesbitt, Robert Q. Lewis, Charles Watts, Fortunio Bonanova"
Central Station,Walter Salles,"Drama, Road Movie, Poverty, Social Drama","Fernanda Montenegro, Vinicius de Oliveira, Marilia Pêra, Soia Lira, Othon Bastos, Otávio Augusto, Stela Freitas, Caio Junqueira, Matheus Nachtergaele"
The Spirit of the Beehive,Víctor Erice,"Drama, 1940s, Spanish Post-War, Small Town Life (Non-North American), Childhood","Ana Torrent, Fernando Fernán Gómez, Isabel Tellería, Laly Soldevila, Teresa Gimpera"
Dangerous Liaisons,Stephen Frears,"Drama, Costume Drama, 18th Century, Revenge","Glenn Close, John Malkovich, Michelle Pfeiffer, Keanu Reeves, Uma Thurman, Swoosie Kurtz, Mildred Natwick, Peter Capaldi, Valerie Gogan, Laura Benson"
Hotel Rwanda,Terry George,"Drama, Africa, Based on a true story, 1990s","Don Cheadle, Sophie Okonedo, Desmond Dube, Hakeem Kae-Kazim, Nick Nolte, Joaquin Phoenix, Cara Seymour, Fana Mokoena, Antonio David Lyons, ""David OHara"", Jean Reno"
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,"Thriller, Drama, Black Comedy, Racism, Sexual Abuse","Frances McDormand, Woody Harrelson, Sam Rockwell, John Hawkes, Peter Dinklage, Caleb Landry Jones, Lucas Hedges, Abbie Cornish, Brendan Sexton III, Samara Weaving, Kerry Condon, Nick Searcy, Lawrence Turner"
The Sixth Sense,M. Night Shyamalan,"Horror, Mystery, Drama, Supernatural, Ghosts, Cult Movie","Haley Joel Osment, Bruce Willis, Toni Collette, Olivia Williams, Trevor Morgan, Donnie Wahlberg, Peter Tambakis, Jeffrey Zubernis, Bruce Norris, Kadee Strickland, Glenn Fitzgerald, Greg Wood, Mischa Barton"
Colorado Territory,Raoul Walsh,"Western, Remake","Joel McCrea, Virginia Mayo, Dorothy Malone, Henry Hull, John Archer, James Mitchell, Morris Ankrum, Basil Ruysdael, Frank Puglia, Ian Wolfe, Harry Woods, Houseley Stevenson"
Alexander Nevsky,Sergei M. Eisenstein,"Drama, Adventure, Epic film, 13th Century","Nikolai Cherkasov, Nikolai Okhlopkov, Andrei Abrikosov, Dmitri Orlov, Anna Danilova, Vasili Novikov, Varvara Massalitinova, Valentina Ivashova, Nikolai Arsky"
A Passion (The Passion of Anna),Ingmar Bergman,"Drama, Romance, Psychological Drama","Max von Sydow, Liv Ullmann, Bibi Andersson, Erland Josephson, Britta Brunius, Sigge Fürst, Erik Hell, Hjördis Petterson, Malin Ek, Brita Öberg"
Landscape in the Mist,Theo Angelopoulos,"Drama, Road Movie, Childhood",
Mildred Pierce,Michael Curtiz,"Drama, Film noir, Melodrama, Maternity","Joan Crawford, Jack Carson, Ann Blyth, Zachary Scott, Eve Arden, Bruce Bennett, Veda Ann Borg, George Tobias"
Two Women,Vittorio De Sica,"Drama, Melodrama, II World War, 1940s","Sophia Loren, Jean-Paul Belmondo, Raf Vallone, Eleonora Brown, Carlo Ninchi, Emma Baron, Antonella Della Porta, Renato Salvatori"
The Criminal Life of Archibaldo de la Cruz,Luis Buñuel,"Drama, Comedy, Psychological Drama, Black Comedy, Crime, Serial Killers","Ernesto Alonso, Miroslava, Ariadne Welter, Rita Macedo, José María Linares-Rivas"
The Twilight Samurai,Yôji Yamada,"Drama, Romance, Samurai, Family Relationships, 19th Century, Feudal Japan","Hiroyuki Sanada, Rie Miyazawa, Nenji Kobayashi, Min Tanaka, Ren Osugi, Mitsuro Fukikoshi, Miki Itô"
The Hidden Fortress,Akira Kurosawa,"Adventure, Feudal Japan, 16th Century, Samurai","Toshirô Mifune, Minoru Chiaki, Misa Uehara, Takashi Shimura, Susumu Fujita, Eiko Miyoshi, Kamatari Fujiwara, Koji Mitsui, Yoshio Tsuchiya"
El cochecito,Marco Ferreri,"Comedy, Old Age / Elderly, Satire, Black Comedy","José Isbert, Pedro Porcel, María Luisa Ponte, José Luis López Vázquez, Antonio Riquelme, Chus Lampreave, Antonio Gavilán"
Zelig,Woody Allen,"Comedy, Mockumentary, 1920s, 1930s","Woody Allen, Mia Farrow, Gale Hansen, Stephanie Farrow, Garrett M. Brown, Mary Louise Wilson, Sol Lomita, John Rothman, Susan Sontag"
"Spring, Summer, Fall, Winter... and Spring",Kim Ki-duk,"Drama, Psychological Drama, Religion","Oh Young-soo, Kim Ki-duk, Kim Jung-yeong, Seo Jae-gyeong, Kim Yeong-min, Ha Yeo-jin, Ji Dae-han"
Escape from Alcatraz,Don Siegel,"Drama, Action, Based on a true story, Prison Drama, 1960s","Clint Eastwood, Patrick McGoohan, Roberts Blossom, Jack Thibeau, Fred Ward, Larry Hankin, Paul Benjamin, David Cryer, Bruce M. Fischer, Madison Arnold, Fred Stuthman, Ray K. Goman, Jason Ronard"
Akira,Katsuhiro Ōtomo,"Animation, Sci-Fi, Action, Thriller, Cyberpunk, Futuristic Thriller, Adult Animation, Cult Movie, Manga, Nuclear Holocaust, Post-apocalyptic Future",
Shutter Island,Martin Scorsese,"Thriller, Mystery, Psychological Thriller, 1950s","Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Emily Mortimer, Michelle Williams, Patricia Clarkson, Max von Sydow, Jackie Earle Haley, Elias Koteas, John Carroll Lynch, Ted Levine, Christopher Denham, Robin Bartlett"
The Finger Man,Jean-Pierre Melville,"Film noir, Mystery, Thriller, French Polar, Heist Film, Crime, Cop Movies, Mafia, Neo-noir","Jean-Paul Belmondo, Serge Reggiani, Michel Piccoli, Monique Hennessy, Jean Desailly, René Lefèvre, Carl Studer, Marcel Cuvelier, Philippe Nahon"
Red Fish,José Antonio Nieves Conde,"Mystery, Film noir, Melodrama","Emma Penella, Arturo de Córdova, Pilar Soler, Manuel de Juan, Félix Dafauce, Félix Acaso, Montserrat Blanch, Julio Gorostegui, María Rivas, Ángel Álvarez, Luis Roses"
Fail-Safe,Sidney Lumet,"Mystery, Thriller, Drama, War, Nuclear Holocaust, Cold War","""Dan OHerlihy"", Henry Fonda, Walter Matthau, Fritz Weaver, Larry Hagman, Frank Overton, Edward Binns, Frieda Altman, Sorrell Booke, Russell Hardie, William Hansen, John Connell, Russell Collins"
The Gospel According to St. Matthew,Pier Paolo Pasolini,"Drama, Religion, Biblical","Enrique Irazoqui, Margherite Caruso, Marcello Morante, Luigi Barbini, Mario Socrate, Susanna Pasolini, Settimio Di Porto, Natalia Ginzburg, Alfonso Gatto, Enzo Siciliano, Giacomo Morante, Alessandro Clerici, Paola Tedesco, Eliseo Boschi"
Sweet Smell of Success,Alexander Mackendrick,"Drama, Film noir, Journalism","Burt Lancaster, Tony Curtis, Susan Harrison, Martin Milner, Sam Levene, Barbara Nichols, Emile Meyer, Jeff Donnell, Edith Atwater, Joe Frisco, The Chico Hamilton Quintet"
Julius Caesar,Joseph L. Mankiewicz,"Drama, Historical, Roman Empire, Biography","Marlon Brando, Louis Calhern, Deborah Kerr, James Mason, Greer Garson, John Gielgud, ""Edmond OBrien"", George Macready, Michael Pate, Richard Hale, Michael Ansara, Alan Napier, John Hoyt, Ian Wolfe, Rhys Williams, Edmund Purdom"
Bend of the River,Anthony Mann,"Western, Adventure, Cult Movie","James Stewart, Arthur Kennedy, Rock Hudson, Julie Adams, Lori Nelson, Harry Morgan, Jay C. Flippen, Chubby Johnson, Stepin Fetchit, Howard Petrie, Frances Bavier, Jack Lambert, Royal Dano"
Shadow of a Doubt,Alfred Hitchcock,"Film noir, Mystery, Thriller, Crime, Serial Killers","Teresa Wright, Joseph Cotten, Macdonald Carey, Henry Travers, Patricia Collinge, Hume Cronyn, Wallace Ford, Edna May Wonacott, Charles Bates, Irving Bacon, Clarence Muse, Janet Shaw, Estelle Jewell, Eily Malyon, Ethel Griffies"
Invasion of the Body Snatchers,Don Siegel,"Sci-Fi, Fantasy, Horror, Small Town Life (North-american), Aliens, B Movie, Cult Movie","Kevin McCarthy, Dana Wynter, Larry Gates, Carolyn Jones, King Donovan, Virginia Christine, Tom Fadden, Guy Way, Sam Peckinpah"
Poor Things,Yorgos Lanthimos,"Fantasy, Sci-Fi, Comedy, Drama, Erotic, 19th Century, Magic Realism","Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef, Christopher Abbott, Jerrod Carmichael, Kathryn Hunter, Margaret Qualley, Hanna Schygulla, Vicki Pepperdine, Suzy Bemba, Tom Stourton, Wayne Brett"
Klaus,Sergio Pablos,"Animation, Fantasy, Comedy, Drama, Christmas, Friendship, Small Town Life (Non-North American), Cold Weather, Family-friendly","Quim Gutiérrez, Luis Tosar"
My Fair Lady,George Cukor,"Musical, Romance, Comedy, Romantic Comedy, 1910s","Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Mona Washbourne, Isobel Elsom, John Holland"
Dancer in the Dark,Lars von Trier,"Drama, Musical, Crime, Cult Movie, Disease/illness, Disability, Blindness","Björk, Catherine Deneuve, David Morse, Peter Stormare, Jean-Marc Barr, Joel Grey, Udo Kier, Vincent Paterson, Cara Seymour, Vladica Kostic, Siobhan Fallon, Zeljko Ivanek, Jens Albinus"
Into the Wild,Sean Penn,"Adventure, Drama, Based on a true story, 1990s, Nature, Survival Film, Road Movie, Independent Film (US)","Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone, Brian Dierker, Vince Vaughn, Kristen Stewart, Catherine Keener, Hal Holbrook, Thure Lindhardt, Signe Egholm Olsen, Zach Galifianakis, Haley Ramm, R.D. Call"
Léon: The Professional,Luc Besson,"Action, Thriller, Drama, Crime, Revenge, Buddy Film","Jean Reno, Natalie Portman, Gary Oldman, Danny Aiello, Samy Naceri, Peter Appel, Michael Badalucco, Ellen Greene, Elizabeth Regen"
Enemy at the Gates,Jean-Jacques Annaud,"War, Drama, II World War, Based on a true story","Jude Law, Joseph Fiennes, Rachel Weisz, Ed Harris, Bob Hoskins, Ron Perlman, Eva Mattes, Gabriel Thomson, Matthias Habich, Sophie Rois, Ivan Shvedoff, Mario Bandi, Hans Martin Stier, Clemens Schick, Mikhail Matveyev, Alexander Schwan"
Eternal Sunshine of the Spotless Mind,Michel Gondry,"Drama, Romance, Comedy, Sci-Fi, Independent Film (US), Comedy-Drama, Cult Movie","Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood, Tom Wilkinson, Thomas Jay Ryan, Gerry Robert Byrne, Jane Adams, David Cross, Ryan Whitney"
A Time to Love and a Time to Die,Douglas Sirk,"Romance, Drama, II World War, Melodrama, Romantic Drama","John Gavin, Liselotte Pulver, Jock Mahoney, Keenan Wynn, Don DeFore, Erich Maria Remarque, Klaus Kinski, Dieter Borsche, Barbara Rutting, Thayer David, Dorothea Wieck"
L'avventura,Michelangelo Antonioni,"Drama, Mystery, Romance, Psychological Drama, Kidnapping Film / Disappearance","Gabriele Ferzetti, Monica Vitti, Lea Massari, Dominique Blanchar, James Addams, Renzo Ricci, Esmeralda Ruspoli, Lelio Luttazzi, Dorothy De Poliolo, Giovanni Petti"
My Night with Maud,Éric Rohmer,"Drama, Romance, Comedy, Romantic Drama, Nouvelle vague (New Wave)","Jean-Louis Trintignant, Françoise Fabian, Marie-Christine Barrault, Antoine Vitez"
Sullivan's Travels,Preston Sturges,"Adventure, Comedy, Screwball comedy, Romantic Comedy, Film In Film, The Great Depression, Road Movie, Sophisticated Comedy","Joel McCrea, Veronica Lake, Robert Warwick, William Demarest, Franklin Pangborn, Porter Hall, Eric Blore, Robert Greig, Jimmy Conlin, Ray Milland"
"Suddenly, Last Summer",Joseph L. Mankiewicz,"Drama, Mystery, Southern Gothic, 1930s, Gay & Lesbian","Elizabeth Taylor, Montgomery Clift, Katharine Hepburn, Albert Dekker, Mercedes McCambridge, Gary Raymond, Joan Young, David Cameron, Mavis Villiers, Maria Britneva, Patricia Marmont"
Hedwig and the Angry Inch,John Cameron Mitchell,"Musical, Drama, Independent Film (US), Transgender, Music, Cult Movie","John Cameron Mitchell, Michael Pitt, Miriam Shor, Alberta Watson, Stephen Trask, Theodore Liscinski, Rob Campbell, Michael Aronov, Andrea Martin, Maurice Dean Wint"
Jeremiah Johnson,Sydney Pollack,"Adventure, Western, Nature, Hunting, Survival Film","Robert Redford, Will Geer, Allyn Ann McLerie, Stefan Gierasch, Matt Clark, Delle Bolton, Josh Albee, Joaquín Martínez, Richard Angarola, Paul Benedict"
Common Ground,Adolfo Aristarain,Drama,"Federico Luppi, Mercedes Sampietro, Arturo Puig, Claudio Rissi, Pepe Soriano, Carlos Santamaría, Yael Bamatán, Valentina Bassi, Graciela Tenenbaum, María Fiorentino, Osvaldo Santoro, José Luis Alfonzo"
The Postman Always Rings Twice,Tay Garnett,"Film noir, Mystery, Drama, Romance, Crime, The Great Depression, 1930s, Cult Movie","Lana Turner, John Garfield, Cecil Kellaway, Hume Cronyn, Leon Ames, Audrey Totter, Alan Reed"
Breathless,Jean-Luc Godard,"Drama, Romance, Crime, Nouvelle vague (New Wave)","Jean-Paul Belmondo, Jean Seberg, Daniel Boulanger, Henri-Jacques Huet, Roger Hanin, Jean-Pierre Melville, Jean-Louis Richard, Claude Mansard, Jean-Luc Godard"
Memories of Murder,Bong Joon-ho,"Mystery, Thriller, Crime, 1980s, Cop Movies, Serial Killers, Neo-noir, Based on a true story","Song Kang-ho, Kim Sang-Kyung, Kim Roe-ha, Song Jae-ho, Byeon Hie-bong, Koh Seo-hee, Park No-Sik, Park Hae-Il, Choi Jong-ryol, Jeon Mi-seon, Tae-ho Ryu, Seo Young-hwa, Woo Go-na"
Love,Michael Haneke,"Drama, Romantic Drama, Old Age / Elderly, Disease/illness, Disability","Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, William Shimell, Ramón Agirre, Rita Blanco, Alexandre Tharaud, Laurent Capelluto, Carole Franck, Dinara Drukarova"
Green Book,Peter Farrelly,"Drama, Comedy, Based on a true story, Comedy-Drama, Southern Gothic, 1960s, Racism, Buddy Film, Music, Christmas, Road Movie, Gay & Lesbian","Viggo Mortensen, Mahershala Ali, Iqbal Theba, Linda Cardellini, Ricky Muse, David Kallaway, Montrel Miller, Harrison Stone, Mike Young, Jon Michael Davis, Don DiPetta, Mike Hatton, Dimiter D. Marinov"
"Monsters, Inc.","Pete Docter, Lee Unkrich, David Silverman","Animation, Comedy, Fantasy, Kids, Monsters, Family-friendly, Pixar","John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi, James Coburn, Jennifer Tilly, Bob Peterson, John Ratzenberger, Frank Oz, Daniel Gerson, Steve Susskind, Bonnie Hunt, Jeff Pidgeon"
Hold Back the Dawn,Mitchell Leisen,"Romance, Drama, Romantic Drama, Immigration, Based on a true story","Charles Boyer, Olivia de Havilland, Paulette Goddard, Victor Francen, Walter Abel, Curt Bois, Rosemary DeCamp, Eric Feldary, Nestor Paiva, Eva Puig, Micheline Cheirel, Brian Donlevy, Veronica Lake, Mitchell Leisen"
Skeleton of Mrs. Morales,Rogelio A. González,"Comedy, Horror, Crime, Black Comedy","Arturo de Córdova, Amparo Rivelles, Elda Peralta, Guillermo Orea, Luis Aragón, Rosenda Monteros, Angelines Fernández, Armando Arriola, Mercedes Pascual, Antonio Bravo, Paz Villegas, Roberto Meyer, León Barroso, Humberto Dupeyrón"
The Set-Up,Robert Wise,"Drama, Film noir, Sports, Boxing, Cult Movie","Robert Ryan, Audrey Totter, George Tobias, Alan Baxter, James Edwards, Wallace Ford, Percy Helton, Darryl Hickman, David Clarke, Burman Bodel, ""Kenny OMorrison"", Phillip Pine, Edwin Max, Herbert Anderson"
